case,repeat,speedup,time_reduction_pct,position_linf_m,velocity_linf_m_s,position_rms_m,velocity_rms_m_s,velocity_relative_l2,regression_status,velocity_mass_relative_l2,gauss_kinetic_j,cascade_kinetic_j,kinetic_difference_j
reference_rectangle_failure_103,0,1.197283433118789,16.477588151778544,4.7330078300345804e-05,0.41528882047343424,5.526535567581241e-06,0.09009481050977786,0.30170753847134285,budget_not_defined,0.2868395587839272,0.007415210298626695,0.007416281682262878,1.0713836361836426e-06
reference_rectangle_failure_103,1,1.2610654756049517,20.70197627761673,4.733007834809906e-05,0.41528882028992453,5.5265355676561205e-06,0.09009481050983018,0.3017075384720587,budget_not_defined,0.28683955878420037,0.007415210298619501,0.007416281682263033,1.0713836435319313e-06
triangular_flag_failure_120,0,1.0345429804093074,3.338960397338031,3.154494268412112e-05,0.9552368431882208,5.941023380273185e-06,0.13065575748566238,0.3122956364705552,budget_not_defined,0.26282830215328623,0.008827464127605657,0.00886693206544393,3.946793783827368e-05
triangular_flag_failure_120,1,1.0947348511847161,8.653680028748012,3.1544942684470484e-05,0.9552368431629784,5.941023380271275e-06,0.13065575748546845,0.3122956364707281,budget_not_defined,0.26282830215336034,0.008827464127600718,0.008866932065439696,3.946793783897798e-05
reference_rectangle_recent_118,0,0.9941272608045353,-0.5907432002932866,3.067804257156359e-13,5.650880504086582e-10,1.8114163783586735e-14,2.9098943055232632e-11,8.05911986875964e-11,budget_not_defined,5.6338968022556745e-11,0.012357037158610758,0.012357037158585462,-2.52957377266938e-14
reference_rectangle_recent_118,1,0.9338255395681687,-7.0863836581758655,2.0463668194865836e-12,2.6004917663691174e-09,5.777101933711846e-14,8.433611841033243e-11,2.3357373710913276e-10,budget_not_defined,1.5296377761527099e-10,0.012357037158586447,0.012357037158613603,2.7155361292940938e-14
