horizon,steps_per_T1,duration_s,position_error,velocity_error,velocity_xy_error,velocity_z_error,energy_drift
full,40,1.0719083180935054,0.004079252767932697,0.10819686961630721,0.10819553366025068,0.0052659350350237125,0.0003502603038727514
full,80,1.0719083180935054,0.001132631386808627,0.1019810680263451,0.10197931764072575,0.0013574794757531987,6.82387818833341e-05
full,160,1.0719083180935054,0.0006186587874676682,0.10511579456744545,0.10511570228330569,0.0004107691832115781,1.6613046909252915e-05
full,320,1.0719083180935054,0.0005854600599391253,0.11299946557851057,0.11299941278438907,0.00017361154300198095,6.6930836870593424e-06
full,640,1.0719083180935054,0.0006135365098647034,0.11080315818332612,0.11080301920448299,0.00017549521407031956,1.6215858658075177e-06
full,1280,1.0719083180935054,0.0006065070144266691,0.11206345804967906,0.11206342095803584,0.00016041091590900586,4.454078756932489e-07
full,2560,1.0719083180935054,0.0006248161121248909,0.11749130656667006,0.11749124911809107,0.00014826077352410538,1.4864639685807646e-07
short,40,0.05359541590467527,0.0003855143992677063,0.046421118768956667,0.046420183321856635,0.0002947000624443397,6.430302532789423e-05
short,80,0.05359541590467527,0.0005168030565597553,0.0920509055815224,0.09205085064890905,0.00012954613228281176,9.373052847427843e-06
short,160,0.05359541590467527,0.0005200027407556628,0.09877923832915655,0.09877917452302307,0.00015534248279779343,1.5874571992480213e-06
short,320,0.05359541590467527,0.0005226949720130486,0.08314987021453868,0.08314980443514419,0.00011782478495388927,2.5464063302393924e-07
short,640,0.05359541590467527,0.0005016952218635895,0.10025457095336697,0.10025451933638016,0.00012712869480039553,7.28074263101064e-08
short,1280,0.05359541590467527,0.000558513684532604,0.10345966002350952,0.10345958179022013,0.00013184470878069317,5.3884593897990385e-08
short,2560,0.05359541590467527,0.0002888430221322532,0.06912204786220473,0.06912199449370264,8.746696560630746e-05,1.2737623622527394e-08
short,5120,0.05359541590467527,0.00014561714252178163,0.05507949549666184,0.055079461920460045,7.164174968831574e-05,4.794940222652144e-09
