case_id,integration_steps_per_T1,comparison_steps_per_T1,native_sample_stride,compared_frames,duration_s,position_error,velocity_error,velocity_xy_error,velocity_z_error,native_energy_drift,common_grid_energy_drift
acceleration_full_20480,20480,10240,2,10241,1.0719083180935054,0.00017430560233038506,0.060597581099870235,0.0605975407679472,7.901493738970268e-05,2.1409114481230063e-09,2.1403661065733104e-09
acceleration_full_40960,40960,10240,4,10241,1.0719083180935054,6.794364644301335e-05,0.02974722542767065,0.029747197633931143,4.164102065833751e-05,6.800049412447606e-10,6.783269501653422e-10
acceleration_full_81920,81920,10240,8,10241,1.0719083180935054,1.8712748633827107e-05,0.00868280813425775,0.00868280189403814,1.228307400781923e-05,3.6736991226860027e-10,3.645048707312526e-10
