resolution,vertex_count,face_count,interior_edge_count,boundary_edge_count,nominal_dx_m,energy_j,ideal_energy_j,analytic_ideal_energy_j,analytic_relative_error,energy_equivalent_stiffness_n_m,linearized_profile_stiffness_n_m,energy_ratio_to_previous,stiffness_ratio_to_previous,energy_ratio_to_coarsest,realization_max_error_m,energy_realization_relative_difference,max_abs_dihedral_rad
4,25,32,40,16,0.25,0.00037491087518633757,0.0003749109617453625,0.0003749109617453626,2.8918924307737056e-16,7.498217503726751,7.500000000000002,,,1.0,2.2351741811588166e-10,-2.3087888526573998e-07,0.004999864476310076
8,81,128,176,32,0.125,0.00021869502819702775,0.00021869510195332502,0.00021869510195332502,0.0,4.373900563940555,4.375000000000001,0.5833253785671924,0.5833253785671922,0.5833253785671924,2.2351741811588166e-10,-3.3725628332665996e-07,0.002499983017186151
16,289,512,736,64,0.0625,0.000117157161775229,0.00011715720627196648,0.00011715720627196648,0.0,2.34314323550458,2.3437500000000004,0.5357102204887768,0.5357102204887768,0.3124933671689298,2.2351741811588166e-10,-3.7980367491574483e-07,0.0012499978561796637
32,1089,2048,3008,128,0.03125,6.0531005436012236e-05,6.053098304604983e-05,6.0530983046049936e-05,1.791152427940382e-15,1.2106201087202446,1.210937500000003,0.5166650038189176,0.5166650038189176,0.16145438674172152,3.3527612630646075e-10,3.6989259519807387e-07,0.0006249997215446464
