timestamp, name, driver_version, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/22 18:41:55.352, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3140 MiB, 1911 MHz, 5005 MHz, 96.97 W, 65
2026/09/22 18:41:57.312, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3142 MiB, 1911 MHz, 5005 MHz, 96.98 W, 65
2026/09/22 18:41:59.271, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3131 MiB, 1911 MHz, 5005 MHz, 96.03 W, 65
2026/09/22 18:42:01.235, NVIDIA GeForce GTX 1080 Ti, 582.28, 92 %, 2 %, 2932 MiB, 1911 MHz, 5005 MHz, 84.96 W, 64
2026/09/22 18:42:03.194, NVIDIA GeForce GTX 1080 Ti, 582.28, 40 %, 3 %, 2915 MiB, 1911 MHz, 5005 MHz, 83.32 W, 64
2026/09/22 18:42:05.177, NVIDIA GeForce GTX 1080 Ti, 582.28, 52 %, 3 %, 2600 MiB, 1911 MHz, 5005 MHz, 88.10 W, 64
2026/09/22 18:42:08.876, NVIDIA GeForce GTX 1080 Ti, 582.28, 97 %, 3 %, 2941 MiB, 1911 MHz, 5005 MHz, 84.00 W, 64
2026/09/22 18:42:10.859, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1546 MiB, 1911 MHz, 5508 MHz, 86.29 W, 64
2026/09/22 18:42:12.819, NVIDIA GeForce GTX 1080 Ti, 582.28, 15 %, 13 %, 1532 MiB, 746 MHz, 810 MHz, 25.89 W, 59
2026/09/22 18:42:14.758, NVIDIA GeForce GTX 1080 Ti, 582.28, 23 %, 23 %, 1522 MiB, 607 MHz, 405 MHz, 23.08 W, 58
2026/09/22 18:42:16.698, NVIDIA GeForce GTX 1080 Ti, 582.28, 21 %, 22 %, 1482 MiB, 607 MHz, 405 MHz, 23.08 W, 57
2026/09/22 18:42:18.642, NVIDIA GeForce GTX 1080 Ti, 582.28, 25 %, 24 %, 1483 MiB, 607 MHz, 405 MHz, 23.67 W, 57
2026/09/22 18:42:20.581, NVIDIA GeForce GTX 1080 Ti, 582.28, 32 %, 29 %, 1497 MiB, 607 MHz, 405 MHz, 24.05 W, 57
2026/09/22 18:42:22.489, NVIDIA GeForce GTX 1080 Ti, 582.28, 24 %, 24 %, 1512 MiB, 607 MHz, 405 MHz, 22.80 W, 57
2026/09/22 18:42:24.388, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1547 MiB, 1531 MHz, 5508 MHz, 65.18 W, 59
2026/09/22 18:42:26.294, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1546 MiB, 1404 MHz, 5508 MHz, 61.89 W, 59
2026/09/22 18:42:28.254, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1532 MiB, 1404 MHz, 5508 MHz, 62.37 W, 58
2026/09/22 18:42:30.213, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1519 MiB, 1202 MHz, 5005 MHz, 55.49 W, 58
2026/09/22 18:42:32.172, NVIDIA GeForce GTX 1080 Ti, 582.28, 14 %, 13 %, 1516 MiB, 721 MHz, 810 MHz, 25.59 W, 56
2026/09/22 18:42:34.132, NVIDIA GeForce GTX 1080 Ti, 582.28, 32 %, 29 %, 1531 MiB, 607 MHz, 405 MHz, 22.70 W, 56
2026/09/22 18:42:36.098, NVIDIA GeForce GTX 1080 Ti, 582.28, 25 %, 25 %, 1514 MiB, 607 MHz, 405 MHz, 22.60 W, 55
2026/09/22 18:42:38.069, NVIDIA GeForce GTX 1080 Ti, 582.28, 29 %, 27 %, 1513 MiB, 607 MHz, 405 MHz, 23.38 W, 55
2026/09/22 18:42:41.826, NVIDIA GeForce GTX 1080 Ti, 582.28, 33 %, 30 %, 1503 MiB, 607 MHz, 405 MHz, 22.60 W, 55
2026/09/22 18:42:43.807, NVIDIA GeForce GTX 1080 Ti, 582.28, 23 %, 23 %, 1502 MiB, 607 MHz, 405 MHz, 23.37 W, 55
2026/09/22 18:42:45.775, NVIDIA GeForce GTX 1080 Ti, 582.28, 23 %, 22 %, 1502 MiB, 607 MHz, 405 MHz, 22.41 W, 55
2026/09/22 18:42:47.727, NVIDIA GeForce GTX 1080 Ti, 582.28, 29 %, 28 %, 1525 MiB, 607 MHz, 405 MHz, 23.47 W, 54
2026/09/22 18:42:49.635, NVIDIA GeForce GTX 1080 Ti, 582.28, 48 %, 41 %, 1526 MiB, 607 MHz, 405 MHz, 24.15 W, 54
2026/09/22 18:42:51.544, NVIDIA GeForce GTX 1080 Ti, 582.28, 27 %, 25 %, 1523 MiB, 607 MHz, 405 MHz, 22.99 W, 54
2026/09/22 18:42:53.473, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1435 MiB, 1531 MHz, 5508 MHz, 64.79 W, 56
2026/09/22 18:42:55.438, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1416 MiB, 1531 MHz, 5508 MHz, 64.40 W, 57
2026/09/22 18:42:57.393, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1404 MiB, 1430 MHz, 5508 MHz, 61.70 W, 56
2026/09/22 18:42:59.352, NVIDIA GeForce GTX 1080 Ti, 582.28, 8 %, 2 %, 1385 MiB, 1227 MHz, 5005 MHz, 55.20 W, 56
2026/09/22 18:43:01.307, NVIDIA GeForce GTX 1080 Ti, 582.28, 31 %, 23 %, 1415 MiB, 746 MHz, 810 MHz, 26.17 W, 55
2026/09/22 18:43:03.263, NVIDIA GeForce GTX 1080 Ti, 582.28, 5 %, 1 %, 1546 MiB, 1531 MHz, 5508 MHz, 65.24 W, 57
2026/09/22 18:43:05.222, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1526 MiB, 1430 MHz, 5508 MHz, 61.21 W, 56
2026/09/22 18:43:07.183, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1504 MiB, 1531 MHz, 5508 MHz, 64.31 W, 57
2026/09/22 18:43:09.147, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1738 MiB, 1531 MHz, 5005 MHz, 61.03 W, 57
2026/09/22 18:43:11.109, NVIDIA GeForce GTX 1080 Ti, 582.28, 9 %, 2 %, 1730 MiB, 1531 MHz, 5005 MHz, 61.12 W, 57
2026/09/22 18:43:13.103, NVIDIA GeForce GTX 1080 Ti, 582.28, 9 %, 2 %, 2002 MiB, 1695 MHz, 5005 MHz, 66.63 W, 57
2026/09/22 18:43:16.837, NVIDIA GeForce GTX 1080 Ti, 582.28, 8 %, 2 %, 1995 MiB, 1695 MHz, 5005 MHz, 65.66 W, 57
2026/09/22 18:43:18.810, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2255 MiB, 1923 MHz, 5005 MHz, 105.01 W, 60
2026/09/22 18:43:20.769, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2251 MiB, 1911 MHz, 5005 MHz, 102.62 W, 61
2026/09/22 18:43:22.692, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 14 %, 2269 MiB, 1911 MHz, 5005 MHz, 106.55 W, 62
2026/09/22 18:43:24.616, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2257 MiB, 1911 MHz, 5005 MHz, 105.09 W, 62
2026/09/22 18:43:26.541, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2253 MiB, 1911 MHz, 5005 MHz, 110.63 W, 62
2026/09/22 18:43:28.470, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 10 %, 2251 MiB, 1911 MHz, 5005 MHz, 106.24 W, 63
2026/09/22 18:43:30.428, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1469 MiB, 1911 MHz, 5508 MHz, 82.50 W, 61
2026/09/22 18:43:32.386, NVIDIA GeForce GTX 1080 Ti, 582.28, 9 %, 2 %, 1739 MiB, 1911 MHz, 5005 MHz, 79.81 W, 61
2026/09/22 18:43:34.350, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1739 MiB, 1911 MHz, 5005 MHz, 80.29 W, 61
2026/09/22 18:43:36.308, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1781 MiB, 1911 MHz, 5005 MHz, 80.40 W, 61
2026/09/22 18:43:38.270, NVIDIA GeForce GTX 1080 Ti, 582.28, 56 %, 9 %, 2219 MiB, 1911 MHz, 5005 MHz, 119.78 W, 61
2026/09/22 18:43:40.225, NVIDIA GeForce GTX 1080 Ti, 582.28, 99 %, 8 %, 2219 MiB, 1911 MHz, 5005 MHz, 111.88 W, 63
2026/09/22 18:43:42.184, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2219 MiB, 1911 MHz, 5005 MHz, 106.26 W, 63
2026/09/22 18:43:44.139, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 14 %, 2219 MiB, 1911 MHz, 5005 MHz, 104.36 W, 64
2026/09/22 18:43:46.102, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2219 MiB, 1911 MHz, 5005 MHz, 105.25 W, 63
2026/09/22 18:43:48.063, NVIDIA GeForce GTX 1080 Ti, 582.28, 5 %, 2 %, 2059 MiB, 1911 MHz, 5005 MHz, 81.01 W, 62
2026/09/22 18:43:51.790, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1472 MiB, 1911 MHz, 5508 MHz, 84.39 W, 62
2026/09/22 18:43:53.755, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1740 MiB, 1531 MHz, 5005 MHz, 61.51 W, 59
2026/09/22 18:43:55.714, NVIDIA GeForce GTX 1080 Ti, 582.28, 18 %, 3 %, 2159 MiB, 1911 MHz, 5005 MHz, 79.84 W, 61
2026/09/22 18:43:57.672, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2219 MiB, 1911 MHz, 5005 MHz, 109.93 W, 64
2026/09/22 18:43:59.635, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 2219 MiB, 1911 MHz, 5005 MHz, 105.09 W, 63
2026/09/22 18:44:01.594, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 14 %, 2219 MiB, 1911 MHz, 5005 MHz, 107.41 W, 64
2026/09/22 18:44:03.556, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2219 MiB, 1911 MHz, 5005 MHz, 104.10 W, 64
2026/09/22 18:44:05.513, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 2219 MiB, 1911 MHz, 5005 MHz, 123.03 W, 64
2026/09/22 18:44:07.475, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2217 MiB, 1911 MHz, 5005 MHz, 107.22 W, 64
2026/09/22 18:44:09.431, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 2213 MiB, 1911 MHz, 5005 MHz, 109.79 W, 64
2026/09/22 18:44:11.392, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2209 MiB, 1911 MHz, 5005 MHz, 109.53 W, 64
2026/09/22 18:44:13.347, NVIDIA GeForce GTX 1080 Ti, 582.28, 5 %, 2 %, 1459 MiB, 1911 MHz, 5508 MHz, 84.49 W, 63
2026/09/22 18:44:15.306, NVIDIA GeForce GTX 1080 Ti, 582.28, 12 %, 3 %, 1697 MiB, 1911 MHz, 5005 MHz, 79.98 W, 62
2026/09/22 18:44:17.261, NVIDIA GeForce GTX 1080 Ti, 582.28, 62 %, 6 %, 1979 MiB, 1911 MHz, 5005 MHz, 105.18 W, 63
2026/09/22 18:44:19.220, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2241 MiB, 1911 MHz, 5005 MHz, 109.87 W, 64
2026/09/22 18:44:21.175, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 2241 MiB, 1911 MHz, 5005 MHz, 106.03 W, 65
2026/09/22 18:44:24.720, NVIDIA GeForce GTX 1080 Ti, 582.28, 99 %, 6 %, 2241 MiB, 1911 MHz, 5005 MHz, 114.26 W, 65
2026/09/22 18:44:26.675, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 11 %, 2241 MiB, 1911 MHz, 5005 MHz, 110.18 W, 65
2026/09/22 18:44:28.633, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2241 MiB, 1911 MHz, 5005 MHz, 107.61 W, 65
2026/09/22 18:44:30.588, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2241 MiB, 1911 MHz, 5005 MHz, 107.28 W, 65
2026/09/22 18:44:32.549, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2241 MiB, 1911 MHz, 5005 MHz, 107.12 W, 65
2026/09/22 18:44:34.504, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2241 MiB, 1911 MHz, 5005 MHz, 107.41 W, 65
2026/09/22 18:44:36.464, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2240 MiB, 1911 MHz, 5005 MHz, 112.04 W, 65
2026/09/22 18:44:38.419, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 11 %, 2240 MiB, 1911 MHz, 5005 MHz, 127.85 W, 65
2026/09/22 18:44:40.376, NVIDIA GeForce GTX 1080 Ti, 582.28, 66 %, 5 %, 2078 MiB, 1911 MHz, 5005 MHz, 82.08 W, 65
2026/09/22 18:44:42.330, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1669 MiB, 1911 MHz, 5005 MHz, 84.26 W, 64
2026/09/22 18:44:44.291, NVIDIA GeForce GTX 1080 Ti, 582.28, 28 %, 4 %, 2049 MiB, 1531 MHz, 5005 MHz, 62.47 W, 61
2026/09/22 18:44:46.246, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 2152 MiB, 1911 MHz, 5005 MHz, 99.23 W, 65
2026/09/22 18:44:48.204, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 2121 MiB, 1911 MHz, 5005 MHz, 99.46 W, 65
2026/09/22 18:44:50.158, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 2458 MiB, 1911 MHz, 5005 MHz, 100.69 W, 65
2026/09/22 18:44:52.115, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2419 MiB, 1911 MHz, 5005 MHz, 102.31 W, 65
2026/09/22 18:44:54.070, NVIDIA GeForce GTX 1080 Ti, 582.28, 5 %, 2 %, 1746 MiB, 1911 MHz, 5508 MHz, 85.76 W, 64
2026/09/22 18:44:56.027, NVIDIA GeForce GTX 1080 Ti, 582.28, 8 %, 3 %, 1798 MiB, 1911 MHz, 5005 MHz, 82.30 W, 63
2026/09/22 18:44:59.619, NVIDIA GeForce GTX 1080 Ti, 582.28, 75 %, 8 %, 2068 MiB, 1911 MHz, 5005 MHz, 100.64 W, 64
2026/09/22 18:45:01.575, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2073 MiB, 1911 MHz, 5005 MHz, 100.26 W, 65
2026/09/22 18:45:03.530, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 2028 MiB, 1911 MHz, 5005 MHz, 101.68 W, 65
2026/09/22 18:45:05.487, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2018 MiB, 1911 MHz, 5005 MHz, 100.18 W, 65
2026/09/22 18:45:07.442, NVIDIA GeForce GTX 1080 Ti, 582.28, 3 %, 2 %, 1462 MiB, 1911 MHz, 5508 MHz, 84.40 W, 63
2026/09/22 18:45:09.397, NVIDIA GeForce GTX 1080 Ti, 582.28, 54 %, 4 %, 1854 MiB, 1911 MHz, 5005 MHz, 85.59 W, 64
2026/09/22 18:45:11.351, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 2020 MiB, 1911 MHz, 5005 MHz, 100.55 W, 65
2026/09/22 18:45:13.309, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2020 MiB, 1911 MHz, 5005 MHz, 101.67 W, 65
2026/09/22 18:45:15.263, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2020 MiB, 1911 MHz, 5005 MHz, 103.76 W, 65
2026/09/22 18:45:17.217, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 2016 MiB, 1911 MHz, 5005 MHz, 100.75 W, 65
2026/09/22 18:45:19.172, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2016 MiB, 1911 MHz, 5005 MHz, 100.70 W, 65
2026/09/22 18:45:21.131, NVIDIA GeForce GTX 1080 Ti, 582.28, 4 %, 2 %, 1460 MiB, 1911 MHz, 5508 MHz, 85.48 W, 64
2026/09/22 18:45:23.085, NVIDIA GeForce GTX 1080 Ti, 582.28, 3 %, 1 %, 1666 MiB, 1911 MHz, 5005 MHz, 81.59 W, 64
2026/09/22 18:45:25.045, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 2046 MiB, 1911 MHz, 5005 MHz, 100.08 W, 65
2026/09/22 18:45:27.001, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2046 MiB, 1911 MHz, 5005 MHz, 101.12 W, 65
2026/09/22 18:45:28.957, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2067 MiB, 1911 MHz, 5005 MHz, 101.99 W, 65
2026/09/22 18:45:32.564, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2060 MiB, 1911 MHz, 5005 MHz, 101.17 W, 65
2026/09/22 18:45:34.520, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2055 MiB, 1911 MHz, 5005 MHz, 99.91 W, 65
2026/09/22 18:45:36.476, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2044 MiB, 1911 MHz, 5005 MHz, 109.82 W, 65
2026/09/22 18:45:38.432, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2063 MiB, 1911 MHz, 5005 MHz, 103.91 W, 66
2026/09/22 18:45:40.387, NVIDIA GeForce GTX 1080 Ti, 582.28, 4 %, 2 %, 1478 MiB, 1911 MHz, 5508 MHz, 85.78 W, 64
2026/09/22 18:45:42.346, NVIDIA GeForce GTX 1080 Ti, 582.28, 67 %, 5 %, 1978 MiB, 1721 MHz, 5005 MHz, 77.58 W, 62
2026/09/22 18:45:44.301, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1981 MiB, 1911 MHz, 5005 MHz, 97.05 W, 65
2026/09/22 18:45:46.259, NVIDIA GeForce GTX 1080 Ti, 582.28, 98 %, 4 %, 1980 MiB, 1911 MHz, 5005 MHz, 101.89 W, 65
2026/09/22 18:45:48.214, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1978 MiB, 1911 MHz, 5005 MHz, 98.48 W, 65
2026/09/22 18:45:50.169, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1978 MiB, 1911 MHz, 5005 MHz, 97.26 W, 65
2026/09/22 18:45:52.123, NVIDIA GeForce GTX 1080 Ti, 582.28, 4 %, 2 %, 1664 MiB, 1911 MHz, 5005 MHz, 83.50 W, 64
2026/09/22 18:45:54.081, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1979 MiB, 1911 MHz, 5005 MHz, 94.85 W, 65
2026/09/22 18:45:56.035, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1977 MiB, 1911 MHz, 5005 MHz, 98.01 W, 65
2026/09/22 18:45:57.993, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 1977 MiB, 1911 MHz, 5005 MHz, 96.39 W, 65
2026/09/22 18:45:59.947, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1977 MiB, 1911 MHz, 5005 MHz, 95.66 W, 64
2026/09/22 18:46:01.905, NVIDIA GeForce GTX 1080 Ti, 582.28, 4 %, 2 %, 1457 MiB, 1911 MHz, 5508 MHz, 86.11 W, 64
2026/09/22 18:46:03.859, NVIDIA GeForce GTX 1080 Ti, 582.28, 5 %, 2 %, 1977 MiB, 1911 MHz, 5005 MHz, 106.85 W, 64
2026/09/22 18:46:07.462, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1977 MiB, 1911 MHz, 5005 MHz, 96.83 W, 65
2026/09/22 18:46:09.422, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 1977 MiB, 1911 MHz, 5005 MHz, 95.82 W, 65
2026/09/22 18:46:11.377, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1977 MiB, 1911 MHz, 5005 MHz, 96.41 W, 65
2026/09/22 18:46:13.337, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1976 MiB, 1911 MHz, 5005 MHz, 96.48 W, 65
2026/09/22 18:46:15.292, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1815 MiB, 1911 MHz, 5005 MHz, 82.65 W, 64
2026/09/22 18:46:17.247, NVIDIA GeForce GTX 1080 Ti, 582.28, 9 %, 2 %, 1663 MiB, 1911 MHz, 5005 MHz, 82.31 W, 64
2026/09/22 18:46:19.201, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 1977 MiB, 1911 MHz, 5005 MHz, 96.33 W, 65
2026/09/22 18:46:21.161, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 1977 MiB, 1911 MHz, 5005 MHz, 96.76 W, 65
2026/09/22 18:46:23.115, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 1977 MiB, 1911 MHz, 5005 MHz, 96.33 W, 65
2026/09/22 18:46:25.075, NVIDIA GeForce GTX 1080 Ti, 582.28, 98 %, 5 %, 1977 MiB, 1911 MHz, 5005 MHz, 95.92 W, 65
2026/09/22 18:46:27.029, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 1976 MiB, 1911 MHz, 5005 MHz, 104.53 W, 65
2026/09/22 18:46:28.990, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 1976 MiB, 1911 MHz, 5005 MHz, 100.45 W, 65
2026/09/22 18:46:30.944, NVIDIA GeForce GTX 1080 Ti, 582.28, 99 %, 4 %, 1976 MiB, 1911 MHz, 5005 MHz, 98.59 W, 65
2026/09/22 18:46:32.898, NVIDIA GeForce GTX 1080 Ti, 582.28, 4 %, 2 %, 1456 MiB, 1911 MHz, 5508 MHz, 84.62 W, 64
2026/09/22 18:46:34.853, NVIDIA GeForce GTX 1080 Ti, 582.28, 14 %, 13 %, 1456 MiB, 746 MHz, 810 MHz, 26.08 W, 59
2026/09/22 18:46:36.808, NVIDIA GeForce GTX 1080 Ti, 582.28, 18 %, 22 %, 1456 MiB, 607 MHz, 405 MHz, 23.47 W, 58
2026/09/22 18:46:38.764, NVIDIA GeForce GTX 1080 Ti, 582.28, 24 %, 23 %, 1456 MiB, 607 MHz, 405 MHz, 23.09 W, 58
2026/09/22 18:46:42.384, NVIDIA GeForce GTX 1080 Ti, 582.28, 18 %, 20 %, 1456 MiB, 607 MHz, 405 MHz, 23.38 W, 57
2026/09/22 18:46:44.342, NVIDIA GeForce GTX 1080 Ti, 582.28, 18 %, 21 %, 1459 MiB, 607 MHz, 405 MHz, 22.89 W, 57
2026/09/22 18:46:46.298, NVIDIA GeForce GTX 1080 Ti, 582.28, 21 %, 22 %, 1458 MiB, 607 MHz, 405 MHz, 22.60 W, 57
2026/09/22 18:46:48.254, NVIDIA GeForce GTX 1080 Ti, 582.28, 24 %, 25 %, 1477 MiB, 607 MHz, 405 MHz, 23.18 W, 56
2026/09/22 18:46:50.211, NVIDIA GeForce GTX 1080 Ti, 582.28, 25 %, 26 %, 1477 MiB, 607 MHz, 405 MHz, 23.86 W, 56
2026/09/22 18:46:52.167, NVIDIA GeForce GTX 1080 Ti, 582.28, 21 %, 23 %, 1468 MiB, 607 MHz, 405 MHz, 23.86 W, 56
2026/09/22 18:46:54.128, NVIDIA GeForce GTX 1080 Ti, 582.28, 18 %, 21 %, 1466 MiB, 607 MHz, 405 MHz, 22.99 W, 56
2026/09/22 18:46:56.084, NVIDIA GeForce GTX 1080 Ti, 582.28, 21 %, 23 %, 1455 MiB, 607 MHz, 405 MHz, 23.08 W, 55
