case_id,mesh_id,diagonal,resolution,field_id,field_kind,energy_j,reference_energy_j,energy_relative_error,normalized_energy_error,curvature_relative_l2_error,float32_displacement_energy_j,float32_energy_relative_difference,float32_max_displacement_error_m,normal_force_norm_n,operator_sha256
forward_4_cylinder_000,forward_4,forward,4,cylinder_000,quadratic,0.00020000000000000012,0.0002,5.421010862427522e-16,5.421010862427522e-16,2.723827027151122e-15,0.00019999993517997523,3.2410012445072807e-07,2.2351741811588166e-10,0.13527937834009163,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_015,forward_4,forward,4,cylinder_015,quadratic,0.0002000000000000002,0.00020000000000000004,8.131516293641281e-16,8.131516293641283e-16,3.697332889200768e-15,0.00019999996437009812,1.781495103888619e-07,4.624100633648931e-10,0.13136353204379217,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_030,forward_4,forward,4,cylinder_030,quadratic,0.00020000000000000025,0.00019999999999999998,1.3552527156068807e-15,1.3552527156068805e-15,4.166920572316685e-15,0.00020000002105426492,1.0527132334250942e-07,7.386334287262653e-10,0.12063271201699093,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_045,forward_4,forward,4,cylinder_045,quadratic,0.0002000000000000005,0.0002,2.439454888092385e-15,2.439454888092385e-15,4.1429647294114535e-15,0.00019999996648741795,1.6756291273674124e-07,4.470348362317633e-10,0.11468457184995792,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_060,forward_4,forward,4,cylinder_060,quadratic,0.00020000000000000017,0.00020000000000000004,6.776263578034402e-16,6.776263578034403e-16,4.730119484234325e-15,0.0002000000210542648,1.0527132307145891e-07,7.386334252568183e-10,0.12063271201699063,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_075,forward_4,forward,4,cylinder_075,quadratic,0.0002000000000000002,0.00020000000000000004,8.131516293641281e-16,8.131516293641283e-16,4.071090731445708e-15,0.000199999964370098,1.78149510930963e-07,4.624100616301696e-10,0.13136353204379214,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_090,forward_4,forward,4,cylinder_090,quadratic,0.00019999999999999993,0.0002,4.0657581468206416e-16,4.0657581468206416e-16,3.4914467879210176e-15,0.00019999993517997507,3.241001243152031e-07,2.2351741985060514e-10,0.13527937834009138,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_105,forward_4,forward,4,cylinder_105,quadratic,0.00019999999999999993,0.00020000000000000006,6.776263578034401e-16,6.776263578034403e-16,2.689055814405617e-15,0.00020000000447534445,2.237672259942578e-08,3.6931671262840915e-10,0.12761249538972197,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_120,forward_4,forward,4,cylinder_120,quadratic,0.00019999999999999977,0.00019999999999999993,8.131516293641286e-16,8.131516293641283e-16,1.975969241857307e-15,0.00019999999257472314,3.712638310389258e-08,1.6763806402059211e-10,0.11344464538679604,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_135,forward_4,forward,4,cylinder_135,quadratic,0.00019999999999999982,0.0002,9.486769009248164e-16,9.486769009248164e-16,1.6809745305884576e-15,0.0001999999987926108,6.0369450324143705e-09,1.1175870992530257e-10,0.10587584180326967,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_150,forward_4,forward,4,cylinder_150,quadratic,0.0001999999999999999,0.00019999999999999998,4.065758146820642e-16,4.0657581468206416e-16,1.7076924211619508e-15,0.00019999999257472325,3.7126383239417824e-08,1.6763806402059211e-10,0.11344464538679609,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_cylinder_165,forward_4,forward,4,cylinder_165,quadratic,0.00019999999999999993,0.00019999999999999996,1.3552527156068808e-16,1.3552527156068805e-16,2.0839398034481234e-15,0.0002000000044753446,2.237672341257741e-08,3.693167160978561e-10,0.12761249538972197,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_twist,forward_4,forward,4,twist,quadratic,0.00040000000000000045,0.0004,1.0842021724855044e-15,2.168404344971009e-15,2.800553741382587e-15,0.00040000000207556766,5.188918007293161e-09,4.470348362317633e-10,0.10961900624714792,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_dome,forward_4,forward,4,dome,quadratic,0.0004000000000000005,0.0004,1.2197274440461925e-15,2.439454888092385e-15,3.951854730813627e-15,0.0003999999377145635,1.5571359251922277e-07,4.470348362317633e-10,0.19159374537104829,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_saddle,forward_4,forward,4,saddle,quadratic,0.00039999999999999986,0.0004,4.0657581468206416e-16,8.131516293641283e-16,2.4190488989680835e-15,0.00040000000124402037,3.1100512790094305e-09,3.725290301931361e-10,0.19103370789214252,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_quartic,forward_4,forward,4,quartic,general,1.9933045679209175e-05,2.88e-05,0.3078803583607925,0.04433477160395412,0.3060758347424075,1.9933048455599254e-05,1.3928579327189462e-07,9.499490256914545e-11,0.052577757147054975,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_4_sine,forward_4,forward,4,sine,general,3.629322456953854e-05,4.8704545517001214e-05,0.2548288012076875,0.06205660473731335,0.4702486112875191,3.629322664256407e-05,5.711880255007767e-08,4.749745128457272e-11,0.07117731137315245,2f33f9517e63da47f4209d89ba3a992681b59ed96749f8a2a9e3f4cdffe172bc
forward_8_cylinder_000,forward_8,forward,8,cylinder_000,quadratic,0.00020000000000000052,0.0002,2.574980159653073e-15,2.574980159653073e-15,1.521540572194687e-14,0.0001999999165535764,4.1723212057076235e-07,2.2351741811588166e-10,0.1959669901398944,5342a034788bbc5a2ff05f193b2733e44ff137767fdffb8b46f32179b75fc7fd
