resolution,diagonal,family,field,curvature_inv_m,structure_sha256,current_positions_sha256,float32_positions_sha256,total_energy_j,reference_total_energy_j,total_relative_error,minimum_area_ratio,membrane_to_bending_ratio,reference_quadrature_error,membrane_energy_j,reference_membrane_energy_j,membrane_normalized_error,membrane_force_norm_n,membrane_float32_normalized_energy_difference,bending_energy_j,reference_bending_energy_j,bending_normalized_error,bending_force_norm_n,bending_float32_normalized_energy_difference
4,forward,rest,rest,0.0,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,4e6d932e82e1339443f38ff2afc165d580003ad04de31d2f56bddcb2bf2329fc,560a5da7af7e04ca0ba30663a103a633db49511eefc5554e0ba1bc54c84a10b6,8.80425117434165e-30,0.0,,1.0,,0.0,8.80425117434165e-30,0.0,8.80425117434165e-33,7.930164461608263e-14,0.0,0.0,0.0,0.0,0.0,0.0
4,forward,affine,extension,0.0,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,5dcb04c3c6c0c5e0a0b3ca19a73e4a9d78de58f70cfa8fbd4abd47a038868b17,da59ebc42cae27301cad6683cc8216117013861ac0bc036e6bf677e782f7f650,0.05050145892857178,0.05050145892857147,6.182994160970032e-15,1.0069699999999997,,0.0,0.05050145892857178,0.05050145892857147,3.1225022567582527e-19,6.718234153821952,9.73125142619824e-11,0.0,0.0,0.0,0.0,0.0
4,forward,affine,shear,0.0,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,66aca2c7e1a40b56e562429a888a77269f3c18df40c4e303fb7b5793ddeb6088,12b7fb833460f543e6bf3e065cc2400696f9b8973c679a12821deca9f1b3e798,0.07694505494505519,0.07694505494505495,3.066115072649095e-15,0.9999999999999996,,0.0,0.07694505494505519,0.07694505494505495,2.359223927328458e-19,7.200486622984371,7.358400730406167e-11,0.0,0.0,0.0,0.0,0.0
4,forward,graph,cylinder_000,0.2,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,688d90f76f3fe0bc72fc019ddb06c74abbb64c43f4b7ed5a5b0910a954680ad1,3aa5ba2021ed45ed2eb3b058c9f5ee78e21602501e60894616d1c71872dd3be1,0.0416935147354675,0.04395785160769086,0.05151154547842355,1.000312451187128,23059.512391141634,3.157196726277794e-15,0.04169170673076976,0.04395604395604388,2.264337225274124e-06,9.53604140284862,6.842599424572438e-12,1.8080046977396506e-06,1.807651646976931e-06,3.855314328898949e-06,0.00012833429270525304,4.1823421252893016e-09
4,forward,graph,cylinder_090,0.2,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,03d3472b88ee82e556e8e3445948ee9a0ee105dccf02db6b2fd7b261889a4b28,83804f421dabb5d782bd428f14248eb681429bd99ffea1db1e2a60917a848fc0,0.04169351473546751,0.04395785160769086,0.0515115454784234,1.000312451187128,23059.51239114165,3.157196726277794e-15,0.041691706730769766,0.04395604395604388,2.264337225274117e-06,9.53604140284862,6.8425994176335435e-12,1.8080046977396498e-06,1.8076516469769312e-06,3.855314328887387e-06,0.00012833429270525296,4.182342132226501e-09
4,forward,graph,cylinder_045,0.2,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,0e3c242927c3e0a7a6c33ac38c8b5817272466418e781d849f247db3693debaa,c16f9c9defe7b6e06b9b3184f653f73db4c1d9193d5404606a5b7f34380ca8ba,0.11553932868433749,0.11355490377064217,0.017475466473059125,1.0001562377948756,64544.26858443946,1.9554250691785035e-15,0.11553753863324283,0.11355311355311344,1.984425080129387e-06,13.203502798857766,1.001084452834089e-11,1.7900510946543904e-06,1.7902175287385453e-06,1.8174601989710322e-06,0.00012075240574945458,4.4307981155425233e-10
4,forward,graph,cylinder_135,0.2,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,d48203bf10d288e24e725e4f9daa15a70271260d24c181b4baf2a0841897e48f,2b0f0c659f11f70ded04e07f71717ad0a903992983803bc4d362e7ed2bbb4959,0.0033956482247753644,0.0036648291081522286,0.07344977772035395,1.0001562377948756,1859.3734274788687,8.524431160950073e-15,0.0033938229739012013,0.003663003663003645,2.6918068910244344e-07,2.7262758760903933,8.235430393188636e-14,1.8252508741629691e-06,1.8254451485839037e-06,2.1214766766047587e-06,0.00011572722990639114,2.415724219071563e-10
4,forward,graph,twist,0.2,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,a4deab3309d5a170250a523196b6c72ae38f69885115506bbda48866e55b30cf,db82b0f6a72b4ae711185c6244cfb470fa9c4ea3a97dedc04f36bbfe1f13154a,0.15582323811759324,0.13675463492406684,0.13943661364102408,1.0,62419.1952777268,2.638514406960727e-15,0.15582074175824312,0.13675213675213657,1.9068605006106548e-05,13.55592905938303,1.6707528610604428e-11,2.496359350115573e-06,2.4981719302564126e-06,1.979337513796827e-05,6.915978511706373e-05,6.871601861336466e-10
4,forward,graph,dome,0.2,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,c2c293637a4d948023d16816d07e00d5ddbfbeac6ed6911b59fc7889fffee7a3,0b6ca47ee690107b96d0c58748a0d1cae3095ac36a8c8819cb7cbca56d524a96,0.13071377586821725,0.13675677621429277,0.04418794090763273,1.000624804809475,28162.46805610014,2.638514406960727e-15,0.13070913461538547,0.13675213675213657,6.043002136751102e-06,15.94302094554646,1.8928687062214067e-11,4.641252831783441e-06,4.639462156190482e-06,1.9554177475106937e-05,0.00022429062025060403,8.291153784753978e-09
4,forward,graph,saddle,0.2,41f4a492b7780ae2d7f7723c6dde889c4b08d93f1aa9436ee7e3a5e05d429f45,67a054c46b292490f46dc1deb5af2504fe189e3e962ecd5f96ce42c0bf434d9e,bacb6405d9100b016f62864e6fbfb30665b5ed13cc1cf984ed1841712756c250,0.13071163375152575,0.13675463492406684,0.044188638841356036,1.000624804809475,52301.72638990029,2.638514406960727e-15,0.13070913461538555,0.13675213675213657,6.043002136751019e-06,15.649170714341839,5.855947976529663e-12,2.499136140191084e-06,2.4981719302564135e-06,1.052917248660209e-05,0.00012044853047788434,1.5322362688638736e-09
