comparison,case_id,horizon,steps_per_T1,duration_s,position_error,velocity_error,velocity_xy_error,velocity_z_error,energy_drift
reference_b,acceleration_short_2560,short,2560,0.05359541590467527,0.00028884302155390585,0.06912204776218851,0.06912199439368616,8.746696554183827e-05,1.2536774951499297e-08
reference_b,acceleration_short_5120,short,5120,0.05359541590467527,0.00014561714228703303,0.055079495531560906,0.05507946195535906,7.164174962802762e-05,4.824442845219323e-09
reference_b,acceleration_short_10240,short,10240,0.05359541590467527,4.975801725838966e-05,0.022061963071411908,0.022061943955874,2.9042248829936887e-05,1.3804624110491659e-09
reference_b,acceleration_full_2560,full,2560,1.0719083180935054,0.0006248161087746793,0.11749130640474509,0.11749124895616582,0.00014826077284734547,1.4861420893907962e-07
legacy,acceleration_short_2560,short,2560,0.05359541590467527,2.8852001543281005e-12,1.0599198404570695e-09,1.0599192293775452e-09,1.2060049549475033e-12,1.2536774951499297e-08
legacy,acceleration_short_5120,short,5120,0.05359541590467527,3.5221013540209052e-12,7.592970808050102e-10,7.592960544792609e-10,1.395965398970552e-12,4.824442845219323e-09
legacy,acceleration_full_2560,full,2560,1.0719083180935054,1.1024161597309144e-11,3.3171110576592146e-09,3.3171106202158013e-09,4.63508387088923e-12,1.4861420893907962e-07
