resolution,diagonal,family,field,curvature_inv_m,structure_sha256,current_positions_sha256,float32_positions_sha256,total_energy_j,reference_total_energy_j,total_relative_error,minimum_area_ratio,membrane_to_bending_ratio,reference_quadrature_error,membrane_energy_j,reference_membrane_energy_j,membrane_normalized_error,membrane_force_norm_n,membrane_float32_normalized_energy_difference,bending_energy_j,reference_bending_energy_j,bending_normalized_error,bending_force_norm_n,bending_float32_normalized_energy_difference
4,forward,rest,rest,0.0,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,4e6d932e82e1339443f38ff2afc165d580003ad04de31d2f56bddcb2bf2329fc,560a5da7af7e04ca0ba30663a103a633db49511eefc5554e0ba1bc54c84a10b6,8.80425117434165e-29,0.0,,1.0,,0.0,8.80425117434165e-29,0.0,8.80425117434165e-33,7.930164461608263e-13,0.0,0.0,0.0,0.0,0.0,0.0
4,forward,affine,extension,0.0,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,5dcb04c3c6c0c5e0a0b3ca19a73e4a9d78de58f70cfa8fbd4abd47a038868b17,da59ebc42cae27301cad6683cc8216117013861ac0bc036e6bf677e782f7f650,0.5050145892857177,0.5050145892857146,6.155514186921277e-15,1.0069699999999997,,0.0,0.5050145892857177,0.5050145892857146,3.1086244689504383e-19,67.18234153821953,9.731251426892129e-11,0.0,0.0,0.0,0.0,0.0
4,forward,affine,shear,0.0,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,66aca2c7e1a40b56e562429a888a77269f3c18df40c4e303fb7b5793ddeb6088,12b7fb833460f543e6bf3e065cc2400696f9b8973c679a12821deca9f1b3e798,0.7694505494505516,0.7694505494505494,2.8857553624932665e-15,0.9999999999999996,,0.0,0.7694505494505516,0.7694505494505494,2.220446049250313e-19,72.00486622984371,7.358400729851056e-11,0.0,0.0,0.0,0.0,0.0
4,forward,graph,cylinder_000,0.2,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,688d90f76f3fe0bc72fc019ddb06c74abbb64c43f4b7ed5a5b0910a954680ad1,3aa5ba2021ed45ed2eb3b058c9f5ee78e21602501e60894616d1c71872dd3be1,0.4187250720054373,0.4413680912074157,0.05130189438941023,1.000312451187128,230.59512391141638,3.2834845953289063e-15,0.4169170673076976,0.4395604395604388,2.2643372252741154e-06,95.36041402848619,6.842599414857986e-12,0.0018080046977396506,0.0018076516469769308,3.855314328900152e-06,0.128334292705253,4.182342124604832e-09
4,forward,graph,cylinder_090,0.2,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,03d3472b88ee82e556e8e3445948ee9a0ee105dccf02db6b2fd7b261889a4b28,83804f421dabb5d782bd428f14248eb681429bd99ffea1db1e2a60917a848fc0,0.4187250720054373,0.4413680912074157,0.05130189438941023,1.000312451187128,230.5951239114165,3.1571967262777944e-15,0.4169170673076976,0.4395604395604388,2.2643372252741154e-06,95.36041402848619,6.842599414857986e-12,0.0018080046977396497,0.0018076516469769308,3.85531432889068e-06,0.12833429270525296,4.182342131708524e-09
4,forward,graph,cylinder_045,0.2,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,0e3c242927c3e0a7a6c33ac38c8b5817272466418e781d849f247db3693debaa,c16f9c9defe7b6e06b9b3184f653f73db4c1d9193d5404606a5b7f34380ca8ba,1.1571654374270826,1.137321353059873,0.01744808915599861,1.0001562377948756,645.4426858443945,1.9554250691785035e-15,1.155375386332428,1.1355311355311344,1.9844250801293707e-06,132.03502798857764,1.0010844553320908e-11,0.0017900510946543902,0.0017902175287385451,1.8174601989716982e-06,0.12075240574945456,4.430798140886427e-10
4,forward,graph,cylinder_135,0.2,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,d48203bf10d288e24e725e4f9daa15a70271260d24c181b4baf2a0841897e48f,2b0f0c659f11f70ded04e07f71717ad0a903992983803bc4d362e7ed2bbb4959,0.035763480613174976,0.03845548177862035,0.07000305394540689,1.0001562377948756,18.593734274788684,8.713862964526741e-15,0.033938229739012005,0.036630036630036444,2.6918068910244397e-07,27.26275876090393,8.235430462577576e-14,0.001825250874162969,0.0018254451485839036,2.121476676605425e-06,0.11572722990639112,2.415724197242508e-10
4,forward,graph,twist,0.2,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,a4deab3309d5a170250a523196b6c72ae38f69885115506bbda48866e55b30cf,db82b0f6a72b4ae711185c6244cfb470fa9c4ea3a97dedc04f36bbfe1f13154a,1.5607037769325465,1.370019539451622,0.1391835897152604,1.0,624.1919527772678,2.59792187762287e-15,1.558207417582431,1.3675213675213655,1.906860500610654e-05,135.5592905938303,1.6707528627257774e-11,0.0024963593501155733,0.0024981719302564127,1.9793375137965757e-05,0.06915978511706374,6.871601877615762e-10
4,forward,graph,dome,0.2,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,c2c293637a4d948023d16816d07e00d5ddbfbeac6ed6911b59fc7889fffee7a3,0b6ca47ee690107b96d0c58748a0d1cae3095ac36a8c8819cb7cbca56d524a96,1.311732598985638,1.372160829677556,0.044038737577225526,1.000624804809475,281.6246805610014,2.59792187762287e-15,1.3070913461538547,1.3675213675213655,6.043002136751086e-06,159.43020945546456,1.8928687040009606e-11,0.004641252831783441,0.004639462156190481,1.9554177475121292e-05,0.22429062025060403,8.291153775208392e-09
4,forward,graph,saddle,0.2,a4aff64b60859fd6a0cb6c61e84811748f69567442d8a09836e9ebc2ebb43a69,67a054c46b292490f46dc1deb5af2504fe189e3e962ecd5f96ce42c0bf434d9e,bacb6405d9100b016f62864e6fbfb30665b5ed13cc1cf984ed1841712756c250,1.3095904822940465,1.370019539451622,0.044108171757727896,1.000624804809475,523.0172638990028,2.59792187762287e-15,1.3070913461538554,1.3675213675213655,6.043002136751019e-06,156.49170714341835,5.8559479709785475e-12,0.002499136140191084,0.0024981719302564136,1.052917248660013e-05,0.12044853047788431,1.5322362631291219e-09
